,poi_id,name,review_count,rating,price,distance,full_address,station_id
0,J1vHLZvSRfkNpy2x8OuVaQ,Torre Rosa,21,4.0,€€,501.23627447031674,"['Carrer de Francesc Tàrrega, 22', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
1,oD9g3jw6UoebuiI3GtSGww,Tasca I Vins,10,4.0,€,191.5571791168666,"['Calle Cardenal Tedeschini, 32', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
2,iRrsa0bQbTtHzBjsHIprqQ,Beering Barcelona,10,4.5,€,828.625543250274,"['Carrer de las Navas de Tolosa, 355', '08041 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
3,e6bRub-8J0j5PDm55UNASA,Toca Teca,3,4.5,€,395.7349066197343,"['Carrer Garcilaso, 172', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
4,UdRmo2dstOYd29Ihs5vI8w,La Vermuteria de Sant Andreu,4,4.0,€€,508.5732805745537,"['Rambla de Fabra I Puig, 51', '08030 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
5,SnNRwGBCEzw4Jg3O6FKY_g,La Paradeta Meridiana,2,4.0,€€,222.6300713471383,"['Carrer Pacific, 74', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
6,EizEqw83iFDspKv5ZvHxtw,L'Empanat,4,3.0,€,436.7128585852415,"['Carrer de Monlau, 60', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
7,BOv68xuiuDfFN0-3K0ymZQ,SuperPizza,2,3.0,€,284.54296436477284,"[""Carrer d'Olesa, 43"", '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
8,agJoy_UWph63PWiaLdvFTw,Els 6 Sentits,2,5.0,€€,351.0024310853996,"['Carrer de Martí Molins, s/n', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
9,qN4roYYAOlFaJdMo5_oppQ,Several Cafè,9,4.5,€,865.8905395590365,"['Carrer Gran de Sant Andreu, 165', '08030 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
10,P7Cloffa4aU62FzVr-tZNg,Egarri,10,3.5,€€,757.3172632024884,"['Passeig de Fabra i Puig, 159', '08016 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
11,b6CTrnhzquhrFoU7jF5emQ,Txapeldun,3,4.5,€€,757.3172632024884,"['Passeig de Fabra I Puig, 159', '08016 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
12,uY7qDqn533Z0Rb3RMMBvmw,Restaurante Dopazo,4,4.5,,878.721801112764,"['Calle Santa Coloma, 15', '08030 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
13,uXm4R6Waztb6KiZKrc4LIQ,Marc's,6,4.0,€,611.2055828491641,"['Passeig de Maragall, 140', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
14,sEQqvSGc8PATFLFG7drmLw,El Racó dels Amics,2,2.5,,247.1186074163747,"['Carrer de les Filipines', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
15,o3qKPT5d95KaAeqB_zvnfw,Tips de Vi,1,5.0,,407.19686434957254,"['Carrer de Cortit, 2', 'Local 2', 'Plaça Masadas', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
16,kaolEZ-FPKhSiyFk0VWefw,KFC,1,1.0,,188.18510845666904,"['Avinguda Meridiana, 348', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
17,UJw30gn9Yf60a8gIyvFH-A,La Cholita,8,4.5,€€,790.3112485624608,"['Carrer de Felip II, 244', '08016 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
18,V5R3c-dH9T_FNn4CEAetFQ,El Ramblero,4,5.0,,1047.6207857763798,"['Carrer del Pont del Treball Digne, 13', '08020 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
19,5M3byUf5EHew_Wmr9iNBZg,Com a Casa,1,5.0,,289.60641985629843,"['Calle Pereterre Domenech, 14', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
20,uY7qDqn533Z0Rb3RMMBvmw,Restaurante Dopazo,4,4.5,,241.26167736147352,"['Calle Santa Coloma, 15', '08030 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
21,qN4roYYAOlFaJdMo5_oppQ,Several Cafè,9,4.5,€,297.776712707012,"['Carrer Gran de Sant Andreu, 165', '08030 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
22,J1vHLZvSRfkNpy2x8OuVaQ,Torre Rosa,21,4.0,€€,1157.276415369228,"['Carrer de Francesc Tàrrega, 22', '08027 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
23,UdRmo2dstOYd29Ihs5vI8w,La Vermuteria de Sant Andreu,4,4.0,€€,355.85072233133894,"['Rambla de Fabra I Puig, 51', '08030 Barcelona', 'Spain']",dedcd93fbe85671e73c79baf58bd7fed
24,pSuIE7N8GL_fsQYU2tDJ-w,Nyam Nyam,1,5.0,€,81.13587247365193,"['Rambla Fabra i puig, 3', '08030 Barcelona', 'Spain']",5c10c2dba1c5a8e8d9dcbb251fd8eab7
25,9EHC-IpPtX8RpIVG5koL9g,El Colombia,3,4.5,,62.81588289984402,"['Rambla de Fabra i Puig, 1', '08030 Barcelona', 'Spain']",5c10c2dba1c5a8e8d9dcbb251fd8eab7
26,yU3OjmsAgUP-HFvyshuXiQ,Diego,2,3.5,€€,241.96608884065125,"['Rambla de Fabra i Puig, 35', '08030 Barcelona', 'Spain']",5c10c2dba1c5a8e8d9dcbb251fd8eab7
27,YFz0Bhqld2zDs1Ds1FDh0w,Livingstone,1,4.0,,282.65059966845985,"['Rambla Fabra i Puig, 68', '08030 Barcelona', 'Spain']",5c10c2dba1c5a8e8d9dcbb251fd8eab7
28,N2gHiIoNL3p5UuWKSN8SUQ,Lagar,1,3.0,,176.64955342920373,"['Carrer del Llenguadoc, 6', '08030 Barcelona', 'Spain']",5c10c2dba1c5a8e8d9dcbb251fd8eab7
